#{"t_start": 1682725865.9866734, "env_id": null}
r,l,t
-3.4,65,2361.931293
2.1,10,2362.772841
-1.3,44,2365.593289
-6.8,99,2371.621907
-5.8,89,2377.147044
-18.0,180,2387.882385
1.0,21,2389.367288
-3.1,62,2393.282253
-3.3,64,2397.31032
-0.1,32,2399.443767
-4.8,79,2404.340916
2.1,10,2405.151891
-6.0,91,2410.735611
-0.4,35,2413.001601
-4.0,71,2417.332245
0.8,23,2419.038894
-18.0,180,2429.790852
-0.2,33,2431.935912
-3.5,66,2436.084561
-3.0,61,2439.904953
-5.1,82,2444.965625
-6.8,99,2451.032116
0.7,24,2452.685217
-14.3,174,2463.272024
0.5,26,2465.064317
2.1,10,2465.917957
-13.9,170,2476.124827
-8.6,117,2483.284966
-0.2,33,2485.422508
-13.8,169,2495.642362
-12.1,152,2504.757973
-2.8,59,2508.526037
0.6,25,2510.219604
-3.9,70,2514.751553
-1.2,43,2517.53691
-18.0,180,2528.329106
1.2,19,2529.718053
-1.3,44,2532.556777
-18.0,180,2543.339206
0.1,30,2545.358421
-18.0,180,2556.035251
-0.9,40,2558.628005
-0.7,38,2561.146928
-18.0,180,2571.983488
-5.6,87,2577.395217
-5.8,89,2582.922718
-3.1,62,2586.869829
-3.0,61,2590.686795
-5.0,81,2595.679275
-9.3,124,2603.387528
-1.1,42,2606.08936
0.6,25,2607.770113
-5.4,85,2613.004113
-18.0,180,2623.7575
2.1,10,2624.561416
-0.9,40,2627.168755
-2.7,58,2630.867102
-3.1,62,2634.811455
-10.7,138,2643.191029
1.6,15,2644.300098
1.5,16,2645.478352
2.3,8,2646.188608
-3.9,70,2650.536946
0.3,28,2652.438493
-9.2,123,2659.949635
-9.7,128,2667.68132
-0.3,34,2669.945613
-8.4,115,2677.009556
-7.9,110,2683.752779
-4.0,71,2688.151165
-6.6,97,2694.219789
-4.6,77,2699.041038
-13.8,169,2709.290965
-0.1,32,2711.4098
-8.7,118,2718.701552
-2.3,54,2722.15874
1.5,16,2723.370077
-4.9,80,2728.275827
1.8,13,2729.298024
-4.7,78,2734.059057
-1.9,50,2737.249794
0.2,29,2739.209343
0.3,28,2741.072198
1.9,12,2742.012571
-18.0,180,2752.935888
-3.3,64,2757.052568
-8.4,115,2764.062516
2.3,8,2764.776244
-12.5,156,2774.303349
-18.0,180,2785.147221
-18.0,180,2795.927017
1.1,20,2797.401002
-18.0,180,2808.211281
1.5,16,2809.410711
-2.4,55,2812.944041
0.4,27,2814.815294
-2.0,51,2818.062793
1.9,12,2818.994294
-18.0,180,2829.680529
1.2,19,2831.122966
1.9,12,2832.095421
-18.0,180,2842.90901
-10.1,132,2850.887307
0.5,26,2852.642421
-1.3,44,2855.469763
-4.2,73,2860.002392
-1.0,41,2862.607622
-18.0,180,2873.365913
1.4,17,2874.693192
-0.1,32,2876.866511
-11.5,146,2885.774087
-0.8,39,2888.313393
1.5,16,2889.494609
-18.0,180,2900.213831
