reward_game,counter_done_max_changes,discount_reward,segments,rewards_sum,done_penalty,is_done_success,discount_rewards,entropy,entropy_map,bonus_factor,representation,counter_changes,changes_penalty,experience_bonus,reward_experience_bonus,reward,historical,done_bonus,counter_done,agent,piece_penalty,counter_done_interations
3.0,430,,[ 47 190 217 172 164  77 299 138],0.8999999999999995,,True,1.721828799965464,3.0,1.1598538454007588,1.0,narrow-puzzle,21,,1.0252,3.0755999999999997,3.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([196], dtype=int64), array([199], dtype=int64), array([289], dtype=int64), array([165], dtype=int64), array([81], dtype=int64), array([47], dtype=int64), array([192], dtype=int64), array([61], dtype=int64), array([118], dtype=int64), array([138], dtype=int64), array([138], dtype=int64), array([172], dtype=int64), array([47], dtype=int64), array([238], dtype=int64), array([299], dtype=int64), array([138], dtype=int64), array([47], dtype=int64), array([190], dtype=int64), array([217], dtype=int64), array([172], dtype=int64), array([164], dtype=int64), array([77], dtype=int64)]}",50.0,75,,0,0
15.0,430,,[104  96 118  44  92 138 196 278],1.0999999999999994,,True,1.8360490561799925,3.0,1.2100013501037477,1.0246950765959597,narrow-puzzle,20,,1.0253999999999999,3.0761999999999996,3.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([258], dtype=int64), array([104], dtype=int64), array([155], dtype=int64), array([164], dtype=int64), array([104], dtype=int64), array([49], dtype=int64), array([9], dtype=int64), array([47], dtype=int64), array([60], dtype=int64), array([105], dtype=int64), array([205], dtype=int64), array([172], dtype=int64), array([92], dtype=int64), array([138], dtype=int64), array([196], dtype=int64), array([278], dtype=int64), array([104], dtype=int64), array([96], dtype=int64), array([118], dtype=int64), array([44], dtype=int64)]}",50.0,76,,0,0
3.0,444,,[290 154 163 138 138  11 202  47],0.9499999999999995,,True,1.6650002426119415,2.75,1.1799301652593457,1.0801234497346435,narrow-puzzle,18,,1.0255999999999998,2.8203999999999994,2.75,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([156], dtype=int64), array([61], dtype=int64), array([205], dtype=int64), array([47], dtype=int64), array([47], dtype=int64), array([104], dtype=int64), array([108], dtype=int64), array([47], dtype=int64), array([217], dtype=int64), array([199], dtype=int64), array([172], dtype=int64), array([138], dtype=int64), array([138], dtype=int64), array([11], dtype=int64), array([202], dtype=int64), array([47], dtype=int64), array([290], dtype=int64), array([154], dtype=int64), array([163], dtype=int64)]}",10.0,77,,0,0
9.0,447,,[ 47 102  74 138 196 192 135 164],2.0,,True,2.369115405788056,3.0,1.1786187910689736,1.381698559415515,narrow-puzzle,11,,1.0258,3.0774,3.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([196], dtype=int64), array([81], dtype=int64), array([9], dtype=int64), array([138], dtype=int64), array([196], dtype=int64), array([192], dtype=int64), array([135], dtype=int64), array([164], dtype=int64), array([47], dtype=int64), array([102], dtype=int64), array([74], dtype=int64)]}",50.0,78,,0,0
6.0,447,,[255 199   5 192 164 172  47 196],1.8,,True,2.2478977001032003,3.0,1.167399162618822,1.2709778186044849,narrow-puzzle,13,,1.026,3.0780000000000003,3.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([138], dtype=int64), array([38], dtype=int64), array([290], dtype=int64), array([190], dtype=int64), array([202], dtype=int64), array([172], dtype=int64), array([47], dtype=int64), array([196], dtype=int64), array([255], dtype=int64), array([199], dtype=int64), array([5], dtype=int64), array([192], dtype=int64), array([164], dtype=int64)]}",50.0,79,,0,0
3.0,450,,[172 202 255 192   9 196 217 103],1.5999999999999999,,True,2.128275931088327,3.0,1.2039157653949104,1.1832159566199232,narrow-puzzle,15,,1.0262,3.0786,3.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([155], dtype=int64), array([47], dtype=int64), array([228], dtype=int64), array([104], dtype=int64), array([47], dtype=int64), array([47], dtype=int64), array([172], dtype=int64), array([103], dtype=int64), array([172], dtype=int64), array([202], dtype=int64), array([255], dtype=int64), array([192], dtype=int64), array([9], dtype=int64), array([196], dtype=int64), array([217], dtype=int64)]}",50.0,80,,0,0
6.0,457,,[192 196 151 217 151 172 202 239],1.1499999999999997,,True,1.779260496205483,2.75,1.1811499133777108,1.224744871391589,narrow-puzzle,14,,1.0264,2.8226,2.75,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([104], dtype=int64), array([196], dtype=int64), array([80], dtype=int64), array([104], dtype=int64), array([258], dtype=int64), array([172], dtype=int64), array([203], dtype=int64), array([278], dtype=int64), array([104], dtype=int64), array([196], dtype=int64), array([151], dtype=int64), array([217], dtype=int64), array([151], dtype=int64), array([172], dtype=int64), array([202], dtype=int64), array([239], dtype=int64), array([192], dtype=int64)]}",10.0,81,,0,0
6.0,458,,[ 61 104 196 192 205 138  57 164],2.2,,True,2.4919531412518694,3.0,1.1757325594512975,1.5275252316519468,narrow-puzzle,9,,1.0266,3.0797999999999996,3.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([196], dtype=int64), array([104], dtype=int64), array([196], dtype=int64), array([192], dtype=int64), array([205], dtype=int64), array([138], dtype=int64), array([57], dtype=int64), array([164], dtype=int64), array([61], dtype=int64)]}",50.0,82,,0,0
6.0,461,,[146  34 271   9 102  70 138  81],1.4999999999999998,,True,2.0690560985413535,3.0,1.1792437897804007,1.1832159566199232,narrow-puzzle,15,,1.0268,3.0804,3.0,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([203], dtype=int64), array([104], dtype=int64), array([104], dtype=int64), array([238], dtype=int64), array([203], dtype=int64), array([164], dtype=int64), array([138], dtype=int64), array([47], dtype=int64), array([146], dtype=int64), array([34], dtype=int64), array([271], dtype=int64), array([9], dtype=int64), array([102], dtype=int64), array([70], dtype=int64), array([138], dtype=int64), array([81], dtype=int64)]}",50.0,83,,0,0
3.0,466,,[164 203 104 203 131  31 280 202],1.3499999999999999,,True,1.8950398554904744,2.75,1.1916159277678091,1.224744871391589,narrow-puzzle,14,,1.027,2.8242499999999997,2.75,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.75], 'action': [array([164], dtype=int64), array([190], dtype=int64), array([81], dtype=int64), array([138], dtype=int64), array([169], dtype=int64), array([9], dtype=int64), array([47], dtype=int64), array([202], dtype=int64), array([164], dtype=int64), array([203], dtype=int64), array([104], dtype=int64), array([203], dtype=int64), array([131], dtype=int64), array([31], dtype=int64), array([280], dtype=int64)]}",10.0,84,,0,0
