historical,done_penalty,bonus_factor,counter_done_max_changes,segments,rewards_sum,entropy_map,reward_game,agent,entropy,reward,is_done_success,changes_penalty,representation,counter_done_interations,discount_reward,done_bonus,reward_experience_bonus,discount_rewards,piece_penalty,experience_bonus,counter_changes,counter_done
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -7.210051650250492], 'action': [array([9], dtype=int64), array([38], dtype=int64), array([24], dtype=int64), array([33], dtype=int64), array([10], dtype=int64), array([18], dtype=int64), array([33], dtype=int64), array([24], dtype=int64)]}",,1.620185174601965,210,[ 9 38 24 33 10 18 33 24],-7.910051650250492,0.9246935609850175,0.0,,2.5,-7.210051650250492,True,,narrow-puzzle,0,,0.0,-8.16754650940377,-7.30577109637227,0,1.1328000000000018,8,613
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([2], dtype=int64), array([12], dtype=int64), array([32], dtype=int64), array([6], dtype=int64), array([1], dtype=int64), array([17], dtype=int64), array([1], dtype=int64), array([16], dtype=int64), array([28], dtype=int64), array([18], dtype=int64)]}",,1.4491376746189437,210,[28 18 32  6  1 17  1 16],0.10000000000000009,0.9939518101706445,4.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.1330000000000018,0.5179717490315061,0,1.1330000000000018,10,614
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([13], dtype=int64), array([3], dtype=int64), array([20], dtype=int64), array([6], dtype=int64), array([36], dtype=int64), array([6], dtype=int64), array([6], dtype=int64), array([2], dtype=int64), array([29], dtype=int64), array([25], dtype=int64), array([22], dtype=int64), array([9], dtype=int64)]}",,1.3228756555322954,210,[29 25 22  9 36  6  6  2],-0.09999999999999987,0.9526092095121206,3.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.1332000000000018,0.4147200926881493,0,1.1332000000000018,12,615
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -9.23545986853401], 'action': [array([1], dtype=int64), array([23], dtype=int64), array([23], dtype=int64), array([23], dtype=int64), array([22], dtype=int64), array([17], dtype=int64), array([36], dtype=int64), array([2], dtype=int64)]}",,1.620185174601965,211,[ 1 23 23 23 22 17 36  2],-9.935459868534009,0.9798687566511527,0.0,,2.4056390622295662,-9.23545986853401,True,,narrow-puzzle,0,,0.0,-10.467470214996462,-9.261690231518457,0,1.1334000000000017,8,616
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([25], dtype=int64), array([4], dtype=int64), array([17], dtype=int64), array([3], dtype=int64), array([38], dtype=int64), array([2], dtype=int64), array([14], dtype=int64), array([1], dtype=int64), array([1], dtype=int64)]}",,1.5275252316519468,211,[ 1  4 17  3 38  2 14  1],0.20000000000000007,0.9969163057678958,3.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.1336000000000017,0.5701141964438902,0,1.1336000000000017,9,617
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([26], dtype=int64), array([32], dtype=int64), array([24], dtype=int64), array([28], dtype=int64), array([28], dtype=int64), array([9], dtype=int64), array([7], dtype=int64), array([17], dtype=int64), array([4], dtype=int64)]}",,1.5275252316519468,211,[ 4 32 24 28 28  9  7 17],0.20000000000000007,0.9975025463691153,4.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.1338000000000017,0.5701141964438902,0,1.1338000000000017,9,618
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([16], dtype=int64), array([24], dtype=int64), array([25], dtype=int64), array([24], dtype=int64), array([36], dtype=int64), array([9], dtype=int64), array([20], dtype=int64), array([13], dtype=int64)]}",,1.620185174601965,211,[16 24 25 24 36  9 20 13],0.30000000000000004,0.9449382598624695,0.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.1340000000000017,0.6226045161609863,0,1.1340000000000017,8,619
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([13], dtype=int64), array([1], dtype=int64), array([36], dtype=int64), array([24], dtype=int64), array([18], dtype=int64), array([6], dtype=int64), array([22], dtype=int64), array([23], dtype=int64), array([9], dtype=int64), array([17], dtype=int64), array([12], dtype=int64), array([16], dtype=int64), array([13], dtype=int64), array([33], dtype=int64), array([32], dtype=int64), array([24], dtype=int64), array([16], dtype=int64), array([37], dtype=int64), array([3], dtype=int64), array([28], dtype=int64), array([38], dtype=int64)]}",,1.0,212,[16 37  3 28 38 33 32 24],6.544660805685808,0.9488482942421288,3.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,9.69135428580886,6.8025340219595805,0,1.1342000000000019,21,620
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([22], dtype=int64), array([23], dtype=int64), array([10], dtype=int64), array([10], dtype=int64), array([35], dtype=int64), array([29], dtype=int64), array([36], dtype=int64), array([39], dtype=int64)]}",,1.620185174601965,212,[22 23 10 10 35 29 36 39],0.30000000000000004,0.9323047076259532,0.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.1344000000000019,0.6226045161609863,0,1.1344000000000019,8,621
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([38], dtype=int64), array([36], dtype=int64), array([9], dtype=int64), array([1], dtype=int64), array([33], dtype=int64), array([5], dtype=int64), array([23], dtype=int64), array([1], dtype=int64), array([3], dtype=int64), array([38], dtype=int64), array([29], dtype=int64), array([2], dtype=int64), array([4], dtype=int64), array([27], dtype=int64)]}",,1.224744871391589,212,[ 3 38 29  2  4 27 23  1],7.244660805685808,0.9692040949598235,3.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,9.694772150131133,7.386174153751964,0,1.1346000000000018,14,622
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([28], dtype=int64), array([27], dtype=int64), array([23], dtype=int64), array([3], dtype=int64), array([2], dtype=int64), array([24], dtype=int64), array([7], dtype=int64), array([25], dtype=int64)]}",,1.620185174601965,212,[28 27 23  3  2 24  7 25],7.844660805685808,0.9692040949598235,0.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,9.696481082292271,7.908417965922883,0,1.1348000000000018,8,623
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([28], dtype=int64), array([37], dtype=int64), array([36], dtype=int64), array([10], dtype=int64), array([23], dtype=int64), array([6], dtype=int64), array([6], dtype=int64), array([35], dtype=int64), array([2], dtype=int64), array([22], dtype=int64), array([13], dtype=int64), array([1], dtype=int64), array([25], dtype=int64)]}",,1.2709778186044849,212,[ 2 22 13  1 25  6  6 35],-0.19999999999999996,0.975704374899119,3.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.1350000000000018,0.36360574624117026,0,1.1350000000000018,13,624
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([14], dtype=int64), array([36], dtype=int64), array([39], dtype=int64), array([3], dtype=int64), array([10], dtype=int64), array([2], dtype=int64), array([10], dtype=int64), array([12], dtype=int64), array([13], dtype=int64), array([10], dtype=int64), array([12], dtype=int64), array([32], dtype=int64), array([6], dtype=int64), array([1], dtype=int64), array([28], dtype=int64), array([35], dtype=int64), array([12], dtype=int64), array([16], dtype=int64), array([20], dtype=int64), array([23], dtype=int64)]}",,1.0246950765959597,213,[12 16 20 23  6  1 28 35],6.644660805685808,0.9888470278883958,3.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,9.699898946614544,6.884270386639668,0,1.1352000000000018,20,625
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([5], dtype=int64), array([32], dtype=int64), array([0], dtype=int64), array([17], dtype=int64), array([38], dtype=int64), array([4], dtype=int64), array([3], dtype=int64), array([38], dtype=int64), array([16], dtype=int64), array([35], dtype=int64), array([1], dtype=int64)]}",,1.381698559415515,213,[16 35  1 17 38  4  3 38],1.1102230246251565e-16,0.9836369257846015,3.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.1354000000000017,0.4661745741283555,0,1.1354000000000017,11,626
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -7.210051650250492], 'action': [array([20], dtype=int64), array([3], dtype=int64), array([1], dtype=int64), array([6], dtype=int64), array([9], dtype=int64), array([7], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([24], dtype=int64), array([1], dtype=int64)]}",,1.4491376746189437,214,[24  1  1  6  9  7 17 17],-8.110051650250492,0.9992294886891655,3.0,,2.5,-7.210051650250492,True,,narrow-puzzle,0,,0.0,-8.187734654024473,-7.332309279643416,0,1.135600000000002,10,627
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([2], dtype=int64), array([39], dtype=int64), array([39], dtype=int64), array([13], dtype=int64), array([19], dtype=int64), array([35], dtype=int64), array([9], dtype=int64), array([29], dtype=int64)]}",,1.620185174601965,214,[ 2 39 39 13 19 35  9 29],0.30000000000000004,0.9730145995120817,0.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.135800000000002,0.6226045161609863,0,1.135800000000002,8,628
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([12], dtype=int64), array([20], dtype=int64), array([7], dtype=int64), array([14], dtype=int64), array([8], dtype=int64), array([24], dtype=int64), array([28], dtype=int64), array([1], dtype=int64), array([5], dtype=int64), array([18], dtype=int64), array([20], dtype=int64)]}",,1.381698559415515,215,[ 5 18 20 14  8 24 28  1],7.544660805685808,0.9850337323264311,3.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,9.706734675259094,7.644696128209407,0,1.136000000000002,11,629
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([33], dtype=int64), array([28], dtype=int64), array([13], dtype=int64), array([10], dtype=int64), array([22], dtype=int64), array([22], dtype=int64), array([20], dtype=int64), array([35], dtype=int64)]}",,1.620185174601965,215,[33 28 13 10 22 22 20 35],0.30000000000000004,0.968211300517019,0.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.1362000000000019,0.6226045161609863,0,1.1362000000000019,8,630
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([37], dtype=int64), array([2], dtype=int64), array([18], dtype=int64), array([39], dtype=int64), array([24], dtype=int64), array([4], dtype=int64), array([1], dtype=int64), array([18], dtype=int64), array([16], dtype=int64)]}",,1.5275252316519468,216,[16  2 18 39 24  4  1 18],0.20000000000000007,0.966177351388351,3.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.1364000000000019,0.5701141964438902,0,1.1364000000000019,9,631
