reward_game,done_penalty,agent,piece_penalty,reward_experience_bonus,segments,rewards_sum,is_done_success,discount_reward,done_bonus,experience_bonus,counter_done_interations,counter_done_max_changes,counter_changes,entropy,counter_done,historical,representation,changes_penalty,bonus_factor,entropy_map,reward,discount_rewards
3.0,,,0,8.665994989126547,[145  36 213 104  65 203 163 167],6.844660805685808,True,,50.0,1.0142,0,67,17,3.0,20,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([203], dtype=int64), array([189], dtype=int64), array([163], dtype=int64), array([104], dtype=int64), array([104], dtype=int64), array([104], dtype=int64), array([287], dtype=int64), array([129], dtype=int64), array([151], dtype=int64), array([104], dtype=int64), array([213], dtype=int64), array([104], dtype=int64), array([65], dtype=int64), array([203], dtype=int64), array([163], dtype=int64), array([167], dtype=int64), array([145], dtype=int64), array([36], dtype=int64)]}",narrow-puzzle,,1.1114378604524227,1.1904812194792656,8.544660805685808,7.049367566205181
9.0,,,0,8.667703921287684,[164  41 129  68  65 104  88  85],6.644660805685808,True,,50.0,1.0144,0,67,20,3.0,21,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([88], dtype=int64), array([109], dtype=int64), array([104], dtype=int64), array([90], dtype=int64), array([291], dtype=int64), array([36], dtype=int64), array([163], dtype=int64), array([104], dtype=int64), array([264], dtype=int64), array([104], dtype=int64), array([65], dtype=int64), array([104], dtype=int64), array([65], dtype=int64), array([104], dtype=int64), array([88], dtype=int64), array([85], dtype=int64), array([164], dtype=int64), array([41], dtype=int64), array([129], dtype=int64), array([68], dtype=int64)]}",narrow-puzzle,,1.0246950765959597,1.180236504433656,8.544660805685808,6.884270386639668
4.0,,,0,8.66941285344882,[104 151  81  85 174 163 109 164],6.644660805685808,True,,50.0,1.0146,0,69,20,3.0,22,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([104], dtype=int64), array([125], dtype=int64), array([174], dtype=int64), array([168], dtype=int64), array([151], dtype=int64), array([90], dtype=int64), array([213], dtype=int64), array([168], dtype=int64), array([287], dtype=int64), array([123], dtype=int64), array([163], dtype=int64), array([125], dtype=int64), array([174], dtype=int64), array([163], dtype=int64), array([109], dtype=int64), array([164], dtype=int64), array([104], dtype=int64), array([151], dtype=int64), array([81], dtype=int64), array([85], dtype=int64)]}",narrow-puzzle,,1.0246950765959597,1.1563282555959506,8.544660805685808,6.884270386639668
3.0,,,0,8.671121785609957,[ 55 129  81  68 104  47 203 168],7.344660805685808,True,,50.0,1.0148,0,72,13,3.0,23,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([104], dtype=int64), array([257], dtype=int64), array([187], dtype=int64), array([104], dtype=int64), array([246], dtype=int64), array([47], dtype=int64), array([203], dtype=int64), array([168], dtype=int64), array([55], dtype=int64), array([129], dtype=int64), array([81], dtype=int64), array([68], dtype=int64), array([104], dtype=int64)]}",narrow-puzzle,,1.2709778186044849,1.1588610373781683,8.544660805685808,7.471777571627171
12.0,,,0,8.672830717771097,[177 164 104  88 151 163 268 126],7.244660805685808,True,,50.0,1.0150000000000001,0,76,14,3.0,24,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([226], dtype=int64), array([213], dtype=int64), array([257], dtype=int64), array([41], dtype=int64), array([125], dtype=int64), array([287], dtype=int64), array([268], dtype=int64), array([126], dtype=int64), array([177], dtype=int64), array([164], dtype=int64), array([104], dtype=int64), array([88], dtype=int64), array([151], dtype=int64), array([163], dtype=int64)]}",narrow-puzzle,,1.224744871391589,1.170559606549485,8.544660805685808,7.386174153751964
6.0,,,0,8.674539649932234,[ 88 213 174 164 168 104  65  68],6.644660805685808,True,,50.0,1.0152,0,76,20,3.0,25,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([163], dtype=int64), array([164], dtype=int64), array([126], dtype=int64), array([203], dtype=int64), array([203], dtype=int64), array([123], dtype=int64), array([88], dtype=int64), array([163], dtype=int64), array([68], dtype=int64), array([68], dtype=int64), array([88], dtype=int64), array([163], dtype=int64), array([168], dtype=int64), array([104], dtype=int64), array([65], dtype=int64), array([68], dtype=int64), array([88], dtype=int64), array([213], dtype=int64), array([174], dtype=int64), array([164], dtype=int64)]}",narrow-puzzle,,1.0246950765959597,1.1837750373255045,8.544660805685808,6.884270386639668
3.0,,,0,1.0154,[177 164  47 129 164  68 246 104],1.1102230246251565e-16,True,,10.0,1.0154,0,77,11,2.75,26,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([205], dtype=int64), array([213], dtype=int64), array([269], dtype=int64), array([129], dtype=int64), array([164], dtype=int64), array([68], dtype=int64), array([246], dtype=int64), array([104], dtype=int64), array([177], dtype=int64), array([164], dtype=int64), array([47], dtype=int64)]}",narrow-puzzle,,1.381698559415515,1.162738016602953,1.0,0.4661745741283555
6.0,,,0,-7.3225284559944,[164  68 164 278  36 123  36 148],-8.310051650250491,True,,0.0,1.0156,0,78,11,2.5,27,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -7.210051650250492], 'action': [array([164], dtype=int64), array([163], dtype=int64), array([86], dtype=int64), array([163], dtype=int64), array([36], dtype=int64), array([123], dtype=int64), array([36], dtype=int64), array([148], dtype=int64), array([164], dtype=int64), array([68], dtype=int64), array([164], dtype=int64), array([278], dtype=int64)]}",narrow-puzzle,,1.381698559415515,1.1914408345487622,-7.210051650250492,-7.358497169481967
4.0,,,0,1.0158,[164 155  88 163 231 164 126 104],-0.40000000000000013,True,,10.0,1.0158,0,82,15,2.75,28,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([151], dtype=int64), array([164], dtype=int64), array([246], dtype=int64), array([151], dtype=int64), array([47], dtype=int64), array([213], dtype=int64), array([88], dtype=int64), array([104], dtype=int64), array([164], dtype=int64), array([155], dtype=int64), array([88], dtype=int64), array([163], dtype=int64), array([231], dtype=int64), array([164], dtype=int64), array([126], dtype=int64)]}",narrow-puzzle,,1.1832159566199232,1.161711229498249,1.0,0.26238732630550815
6.0,,,0,8.681375378576782,[155 195 163 151  88 123 104 129],7.444660805685809,True,,50.0,1.016,0,85,12,3.0,29,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([104], dtype=int64), array([36], dtype=int64), array([41], dtype=int64), array([163], dtype=int64), array([88], dtype=int64), array([123], dtype=int64), array([104], dtype=int64), array([129], dtype=int64), array([155], dtype=int64), array([195], dtype=int64), array([163], dtype=int64), array([151], dtype=int64)]}",narrow-puzzle,,1.3228756555322954,1.1878088795717496,8.544660805685808,7.557950136823856
