historical,done_penalty,bonus_factor,counter_done_max_changes,segments,rewards_sum,entropy_map,reward_game,agent,entropy,reward,is_done_success,changes_penalty,representation,counter_done_interations,discount_reward,done_bonus,reward_experience_bonus,discount_rewards,piece_penalty,experience_bonus,counter_changes,counter_done
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([42], dtype=int64), array([54], dtype=int64), array([69], dtype=int64), array([4], dtype=int64), array([65], dtype=int64), array([14], dtype=int64), array([26], dtype=int64), array([34], dtype=int64), array([28], dtype=int64), array([4], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([9], dtype=int64), array([51], dtype=int64), array([4], dtype=int64)]}",,1.1832159566199232,121,[28  4 15  0  9 51  4 34],-0.40000000000000013,1.02685585667025,3.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.025,0.26238732630550815,0,1.025,15,74
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([12], dtype=int64), array([17], dtype=int64), array([34], dtype=int64), array([76], dtype=int64), array([14], dtype=int64), array([34], dtype=int64), array([49], dtype=int64), array([35], dtype=int64), array([28], dtype=int64), array([8], dtype=int64)]}",,1.4491376746189437,121,[28  8 34 76 14 34 49 35],0.10000000000000009,1.042635784040161,4.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0252,0.5179717490315061,0,1.0252,10,75
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([17], dtype=int64), array([66], dtype=int64), array([26], dtype=int64), array([28], dtype=int64), array([15], dtype=int64), array([60], dtype=int64), array([17], dtype=int64), array([26], dtype=int64), array([0], dtype=int64), array([75], dtype=int64), array([6], dtype=int64), array([14], dtype=int64), array([12], dtype=int64), array([13], dtype=int64)]}",,1.224744871391589,132,[ 0 75  6 14 12 13 17 26],7.244660805685808,1.0410081825423736,4.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.761695190150226,7.386174153751964,0,1.0253999999999999,14,76
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([34], dtype=int64), array([17], dtype=int64), array([76], dtype=int64), array([47], dtype=int64), array([79], dtype=int64), array([26], dtype=int64), array([34], dtype=int64), array([34], dtype=int64), array([15], dtype=int64), array([47], dtype=int64), array([9], dtype=int64), array([4], dtype=int64), array([34], dtype=int64), array([76], dtype=int64), array([29], dtype=int64)]}",,1.1832159566199232,135,[15 47  9  4 34 76 29 34],-0.40000000000000013,1.0282807181523559,3.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0255999999999998,0.26238732630550815,0,1.0255999999999998,15,77
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([35], dtype=int64), array([76], dtype=int64), array([15], dtype=int64), array([15], dtype=int64), array([78], dtype=int64), array([12], dtype=int64), array([1], dtype=int64), array([4], dtype=int64), array([35], dtype=int64), array([14], dtype=int64), array([28], dtype=int64)]}",,1.4491376746189437,135,[35 14 28 15 78 12  1  4],7.544660805685808,1.030578641875804,3.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.765113054472502,7.644696128209407,0,1.0258,10,78
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([57], dtype=int64), array([11], dtype=int64), array([12], dtype=int64), array([35], dtype=int64), array([26], dtype=int64), array([37], dtype=int64), array([15], dtype=int64), array([75], dtype=int64), array([9], dtype=int64), array([23], dtype=int64)]}",,1.4491376746189437,135,[ 9 23 12 35 26 37 15 75],7.644660805685808,1.042635784040161,5.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.766821986633639,7.732019859052291,0,1.026,10,79
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([15], dtype=int64), array([42], dtype=int64), array([0], dtype=int64), array([14], dtype=int64), array([60], dtype=int64), array([4], dtype=int64), array([16], dtype=int64), array([27], dtype=int64)]}",,1.620185174601965,140,[15 42  0 14 60  4 16 27],7.844660805685808,1.0396121134385912,3.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.768530918794776,7.908417965922883,0,1.0262,8,80
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -7.210051650250492], 'action': [array([26], dtype=int64), array([41], dtype=int64), array([4], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([15], dtype=int64), array([34], dtype=int64), array([14], dtype=int64), array([4], dtype=int64), array([28], dtype=int64)]}",,1.4491376746189437,141,[ 4 28  4 17 17 15 34 14],-8.110051650250492,1.0399844873057045,3.0,,2.5,-7.210051650250492,True,,narrow-puzzle,0,,0.0,-7.400397013817105,-7.332309279643416,0,1.0264,10,81
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 8.544660805685808], 'action': [array([14], dtype=int64), array([14], dtype=int64), array([4], dtype=int64), array([15], dtype=int64), array([15], dtype=int64), array([26], dtype=int64), array([28], dtype=int64), array([3], dtype=int64), array([4], dtype=int64), array([17], dtype=int64), array([41], dtype=int64), array([76], dtype=int64), array([17], dtype=int64), array([26], dtype=int64), array([76], dtype=int64), array([34], dtype=int64), array([12], dtype=int64), array([15], dtype=int64), array([0], dtype=int64), array([4], dtype=int64)]}",,1.0513149660756935,141,[12 15  0  4 17 26 76 34],6.644660805685808,1.0410081825423736,4.0,,3.0,8.544660805685808,True,,narrow-puzzle,0,,50.0,8.77194878311705,6.884270386639668,0,1.0266,19,82
"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 1.0], 'action': [array([29], dtype=int64), array([52], dtype=int64), array([34], dtype=int64), array([35], dtype=int64), array([15], dtype=int64), array([51], dtype=int64), array([34], dtype=int64), array([51], dtype=int64), array([16], dtype=int64), array([28], dtype=int64), array([34], dtype=int64), array([68], dtype=int64), array([14], dtype=int64), array([26], dtype=int64), array([4], dtype=int64), array([35], dtype=int64), array([35], dtype=int64), array([75], dtype=int64)]}",,1.1114378604524227,145,[35 75 34 68 14 26  4 35],-0.7000000000000004,1.0421553822651266,3.0,,2.75,1.0,True,,narrow-puzzle,0,,10.0,1.0268,0.11304791138353469,0,1.0268,17,83
