#{"t_start": 1682944432.1517096, "env_id": null}
r,l,t
-1.470914,6,184.149806
7.382359,7,184.574938
7.282359,8,185.030582
-11.617641,17,185.935816
7.282359,8,186.413245
7.482359,6,186.793512
-2.117641,22,187.963876
3.082359,30,189.513724
-1.870914,10,190.088222
-1.217641,13,190.822052
-7.417641,55,193.633982
-27.017641,51,196.222221
-3.570914,7,196.641476
7.382359,7,197.070364
-15.870914,30,198.613892
3.982359,21,199.714651
7.282359,8,200.182347
7.482359,6,200.553611
-1.470914,6,200.920696
7.482359,6,201.290357
7.082359,10,201.867516
2.982359,11,202.489377
-3.017641,31,204.09963
6.882359,12,204.772024
-15.270914,44,206.993176
6.882359,12,207.648469
-4.170914,13,208.358036
2.882359,32,210.030271
2.482359,16,210.920186
4.782359,13,211.631182
-1.517641,16,212.498016
-1.470914,6,212.879699
4.482359,16,213.743712
-6.070914,12,214.406537
-22.221218,8,214.87984
-1.970914,11,215.598006
-3.617641,17,216.496352
6.782359,13,217.228372
6.882359,12,217.906456
-1.217641,13,218.62818
7.282359,8,219.093877
-4.370914,15,219.911966
5.882359,22,221.073777
-6.617641,27,222.509843
6.982359,11,223.152076
7.182359,9,223.688643
-3.770914,9,224.217923
-3.617641,17,225.132206
5.282359,28,226.612841
-40.217641,43,228.787647
6.982359,11,229.400694
7.482359,6,229.768765
-17.370914,25,231.083736
1.582359,25,232.381607
7.482359,6,232.753547
7.182359,9,233.261196
-3.770914,9,233.78942
-1.817641,19,234.982996
-2.070914,12,235.646391
-8.170914,13,236.35352
5.282359,8,236.821229
2.182359,39,238.848521
6.082359,20,239.943513
3.282359,8,240.403951
7.382359,7,240.829722
7.482359,6,241.199734
-1.570914,7,241.627438
5.282359,8,242.098653
3.282359,8,242.562989
4.182359,19,243.559537
-1.670914,8,244.044992
-2.170914,13,244.757147
-2.517641,26,246.095735
0.529086,6,246.468518
7.282359,8,246.947304
4.982359,11,247.565752
2.882359,12,248.235909
0.782359,13,248.949131
6.282359,18,249.913912
6.482359,16,250.774358
-1.417641,15,251.585281
6.782359,13,252.296106
6.882359,12,252.954258
7.082359,10,253.531492
-7.470914,26,254.866626
7.182359,9,255.389096
6.082359,20,256.481004
-4.270914,14,257.251266
6.282359,18,258.219078
7.482359,6,258.596689
-1.570914,7,259.017561
3.382359,27,260.404931
7.382359,7,260.828863
-10.617641,27,262.247102
3.982359,21,263.333133
2.782359,13,264.028964
-4.470914,16,264.902779
5.882359,22,266.056807
-15.570914,27,267.483057
6.882359,12,268.14451
-8.017641,21,269.248489
4.782359,13,269.961749
4.482359,16,270.829434
6.882359,12,271.493999
-16.321218,9,272.010968
6.982359,11,272.643416
7.382359,7,273.067426
7.482359,6,273.437464
-3.470914,6,273.805656
-2.170914,13,274.517071
-10.217641,43,276.8097
-7.770914,9,277.327871
-25.870914,30,278.86058
7.482359,6,279.230149
-16.617641,27,280.641067
7.282359,8,281.12659
2.482359,16,281.991514
-8.817641,29,283.499505
-4.317641,24,284.768295
-3.470914,6,285.145366
-2.817641,29,286.64134
-0.817641,29,288.13564
6.682359,14,288.903935
6.882359,12,289.585105
-1.870914,10,290.149205
-9.217641,13,290.848738
6.882359,12,291.512691
3.082359,10,292.077727
2.082359,20,293.119458
-17.917641,20,294.185954
-3.870914,10,294.766192
5.482359,26,296.098828
-3.717641,18,297.082445
3.382359,7,297.517921
7.082359,10,298.096814
-21.770914,29,299.559502
-4.770914,19,300.571725
7.282359,8,301.053349
4.982359,11,301.694732
-1.570914,7,302.104438
0.529086,6,302.476448
7.182359,9,303.003003
-0.270914,14,303.781126
-7.917641,20,304.831403
7.482359,6,305.206068
-1.517641,36,306.990989
-15.370914,25,308.295952
-5.117641,12,308.982179
5.282359,8,309.449079
7.282359,8,309.914013
7.382359,7,310.328223
-3.870914,10,310.897836
-3.470914,6,311.273474
7.482359,6,311.636685
3.082359,10,312.210396
7.382359,7,312.631335
-10.170914,13,313.375187
-3.470914,6,313.760656
-2.170914,13,314.477223
2.182359,19,315.498527
-1.570914,7,315.917336
-3.970914,11,316.523377
3.382359,7,316.955153
-1.470914,6,317.338065
6.282359,18,318.323616
7.482359,6,318.711023
7.482359,6,319.085368
3.382359,7,319.499633
5.382359,7,319.92967
7.382359,7,320.346686
-1.317641,14,321.127362
2.582359,15,321.935933
4.782359,13,322.643483
-4.317641,24,323.871485
7.482359,6,324.234801
7.482359,6,324.606423
-10.970914,21,325.728674
-1.570914,7,326.160127
-14.021218,6,326.536819
-5.870914,10,327.114095
3.082359,10,327.690027
-0.417641,25,329.0342
2.882359,12,329.707023
-6.570914,17,330.62396
7.482359,6,330.990589
7.182359,9,331.512281
2.982359,11,332.142665
-12.670914,18,333.09895
7.382359,7,333.518768
-1.670914,8,333.988468
6.682359,14,334.773904
7.382359,7,335.205565
-4.417641,45,337.606229
2.682359,14,338.361287
-1.670914,8,338.841345
-30.917641,50,341.41755
7.182359,9,341.942411
5.082359,10,342.509879
-0.717641,28,343.989915
2.482359,36,345.8321
0.529086,6,346.215638
7.482359,6,346.592744
-0.517641,26,347.946285
-1.317641,14,348.695911
-25.970914,51,351.248742
2.782359,13,351.958889
2.482359,16,352.835039
7.182359,9,353.357411
3.082359,10,353.942815
-10.370914,35,355.747121
3.582359,25,357.060578
-5.017641,31,358.640107
6.982359,11,359.257367
6.782359,13,359.964329
-8.835411,9,360.47777
6.782359,13,361.219835
-4.270914,14,362.00207
-6.170914,13,362.717982
0.529086,6,363.097939
-4.070914,12,363.770143
7.382359,7,364.193364
7.082359,10,364.755083
2.782359,13,365.478248
-23.370914,25,366.789405
4.682359,14,367.562058
-7.417641,15,368.380882
-4.470914,16,369.249907
-8.070914,12,369.906471
1.982359,21,371.023458
-23.670914,48,373.453481
4.282359,18,374.421577
-3.470914,6,374.792283
-4.070914,12,375.454623
-6.570914,17,376.346205
3.382359,7,376.772689
6.982359,11,377.395658
7.482359,6,377.775524
-6.370914,15,378.581016
-20.970914,21,379.71199
7.482359,6,380.082524
-3.917641,20,381.147291
4.882359,12,381.794033
-11.270914,24,383.012266
-1.617641,17,383.939988
-0.217641,43,386.120927
0.982359,31,387.729554
-6.217641,23,388.920569
4.982359,11,389.536717
5.282359,8,390.016652
1.682359,24,391.278231
-1.317641,14,392.055339
-5.717641,18,393.014728
-6.817641,29,394.533927
5.382359,27,396.000046
-18.670914,58,398.915988
0.482359,16,399.822682
-3.570914,7,400.244435
7.082359,10,400.814874
-3.517641,36,402.631084
-10.270914,34,404.386046
-8.570914,17,405.27614
1.282359,28,406.703949
-14.121218,7,407.122726
-3.670914,8,407.598001
7.482359,6,407.980115
-4.070914,12,408.664021
7.382359,7,409.0862
-8.270914,34,410.815622
4.982359,11,411.425046
7.482359,6,411.809059
7.282359,8,412.276829
-3.470914,6,412.662601
-6.670914,18,413.627865
4.282359,18,414.605988
-8.717641,28,416.251052
0.529086,6,416.621767
5.382359,7,417.028897
7.282359,8,417.497899
3.982359,21,418.598514
5.382359,7,419.025468
-14.935411,10,419.603594
-3.070914,22,420.771994
-14.317641,24,422.06847
7.082359,10,422.631776
6.882359,12,423.297576
-11.817641,39,425.257385
-30.617641,67,428.61267
7.382359,7,429.041903
-8.470914,16,429.904973
-5.117641,12,430.561378
-2.370914,15,431.375439
7.482359,6,431.743447
-4.370914,15,432.567151
0.529086,6,432.949726
5.082359,10,433.527007
7.482359,6,433.899249
3.382359,7,434.308434
7.482359,6,434.693386
-1.570914,7,435.12377
-4.070914,12,435.790497
7.282359,8,436.244454
