#{"t_start": 1668469511.354258, "env_id": null}
r,l,t
-6.2,62,1027.710487
-6.4,64,1030.226766
-2.52,52,1032.390205
-1.22,39,1034.072397
-0.52,32,1035.453588
-3.52,62,1037.965578
-6.5,65,1040.506178
-6.3,63,1042.951849
-1.62,43,1044.769144
-2.02,47,1046.755479
1.68,10,1047.343426
-2.62,53,1049.54764
-6.2,62,1051.975932
0.58,21,1052.94136
-6.4,64,1055.38762
-6.2,62,1057.791373
1.98,7,1058.249207
-6.2,62,1060.698467
1.78,9,1061.279529
-3.42,61,1063.743778
-0.12,28,1065.017046
-2.22,49,1067.067634
-0.82,35,1068.569042
-6.2,62,1071.031941
-0.72,34,1072.528316
-6.4,64,1074.974673
0.18,25,1076.13527
-2.12,48,1078.157911
-2.02,47,1080.116595
0.58,21,1081.0814
-1.42,41,1082.837
1.68,10,1083.418364
-2.32,50,1085.494088
-1.62,43,1087.335422
1.48,12,1087.971004
1.38,13,1088.669322
-6.1,61,1091.107388
1.48,12,1091.748148
-6.5,65,1094.30957
-6.4,64,1096.800252
-2.42,51,1098.884274
1.88,8,1099.391117
-6.2,62,1101.801312
1.98,7,1102.290941
-1.62,43,1104.0604
-1.12,38,1105.692599
-6.5,65,1108.17404
1.98,7,1108.641116
-2.52,52,1110.796598
-6.2,62,1113.269836
1.58,11,1113.889672
-1.32,40,1115.595672
-3.62,63,1118.103821
-6.3,63,1120.561486
-1.32,40,1122.289798
0.48,22,1123.322387
-0.42,31,1124.676594
-3.52,62,1127.165114
-6.3,63,1129.625231
-3.52,62,1132.152125
-1.42,41,1133.888921
1.88,8,1134.399402
1.78,9,1134.934215
-1.12,38,1136.545112
-6.2,62,1138.992159
0.08,26,1140.188689
-6.2,62,1142.613008
-6.2,62,1145.063462
1.88,8,1145.573318
-0.22,29,1146.886749
-6.3,63,1149.375623
-6.2,62,1151.767119
0.18,25,1152.887046
0.78,19,1153.824879
0.58,21,1154.79739
-0.42,31,1156.142912
-6.4,64,1158.651271
-6.4,64,1161.152458
-0.72,34,1162.599647
0.98,17,1163.45941
-6.8,68,1166.076141
1.08,16,1166.869071
-6.6,66,1169.402261
1.88,8,1169.906363
-1.72,44,1171.722447
-6.3,63,1174.200413
-3.12,58,1176.601445
-1.02,37,1178.197103
-6.1,61,1180.659173
-1.42,41,1182.426787
1.08,16,1183.234562
-3.42,61,1185.66805
-2.62,53,1187.832422
-6.2,62,1190.239863
-6.7,67,1192.833949
-6.2,62,1195.23765
0.28,24,1196.335396
-6.5,65,1198.877882
0.58,21,1199.867934
-0.52,32,1201.263719
1.58,11,1201.866993
-6.4,64,1204.325261
1.58,11,1204.948247
-1.12,38,1206.582021
-1.52,42,1208.336879
-6.1,61,1210.723429
-3.02,57,1213.099183
-6.4,64,1215.675574
-2.02,47,1217.602315
-6.3,63,1220.046453
-1.92,46,1221.968371
0.38,23,1223.053086
0.98,17,1223.882
1.18,15,1224.640851
-6.3,63,1227.085011
-0.92,36,1228.636949
-6.4,64,1231.125734
1.98,7,1231.595491
-3.22,59,1233.991994
-6.5,65,1236.478242
-6.4,64,1238.960927
-0.22,29,1240.248554
-0.92,36,1241.886678
1.78,9,1242.4205
-6.1,61,1244.834389
-6.5,65,1247.309324
-6.6,66,1249.908165
-6.8,68,1252.50017
-2.22,49,1254.57134
0.18,25,1255.668454
-6.4,64,1258.219578
-1.12,38,1259.804787
-6.4,64,1262.276306
-0.52,32,1263.666342
-6.3,63,1266.170861
-1.12,38,1267.753239
-2.62,53,1269.926393
-6.4,64,1272.425988
-6.2,62,1274.859776
-6.1,61,1277.296227
-1.82,45,1279.168806
-6.3,63,1281.620313
-6.4,64,1284.122703
-6.6,66,1286.635528
0.28,24,1287.740569
-3.22,59,1290.184886
-6.3,63,1292.637408
-0.52,32,1294.023206
-6.2,62,1296.468483
-0.92,36,1297.994676
-1.32,40,1299.674928
-1.82,45,1301.598652
-6.4,64,1304.115546
-0.52,32,1305.5061
-2.72,54,1307.719626
1.08,16,1308.553364
0.98,17,1309.396388
-2.72,54,1311.590755
1.08,16,1312.405998
-1.12,38,1314.018557
-6.4,64,1316.559233
-0.42,31,1317.935843
-6.2,62,1320.429827
-6.5,65,1322.959326
2.08,6,1323.397945
-6.1,61,1325.791031
1.38,13,1326.509544
1.28,14,1327.24575
1.58,11,1327.851796
-6.3,63,1330.302058
1.48,12,1330.946406
-3.72,64,1333.467119
-0.82,35,1334.95225
-0.12,28,1336.208528
0.78,19,1337.131551
1.88,8,1337.645208
-6.2,62,1340.057127
0.38,23,1341.139623
-2.52,52,1343.304468
-3.12,58,1345.657302
-1.22,39,1347.315907
1.88,8,1347.822663
-6.3,63,1350.290561
1.38,13,1350.96396
-6.6,66,1353.498322
-6.2,62,1355.92365
1.18,15,1356.68361
-6.3,63,1359.145123
-6.1,61,1361.609837
-0.32,30,1362.9754
1.08,16,1363.786348
1.98,7,1364.249306
-2.92,56,1366.537839
-1.72,44,1368.402439
1.48,12,1369.057238
-0.62,33,1370.49389
-6.5,65,1373.053096
-6.4,64,1375.563834
-6.1,61,1377.967561
-6.2,62,1380.388689
-0.12,28,1381.654262
2.08,6,1382.080019
0.78,19,1383.007017
-2.22,49,1385.038939
-1.12,38,1386.682829
-6.3,63,1389.106119
0.88,18,1389.96848
-6.4,64,1392.443852
-6.2,62,1394.891
-6.3,63,1397.350008
1.28,14,1398.086491
0.98,17,1398.934617
-0.22,29,1400.227179
-3.12,58,1402.581625
-6.4,64,1405.073724
-2.62,53,1407.26646
2.08,6,1407.69804
-2.82,55,1409.959933
0.98,17,1410.806338
-6.5,65,1413.310771
0.08,26,1414.465554
1.18,15,1415.235584
-6.3,63,1417.682974
-0.42,31,1419.036083
-6.2,62,1421.54345
-6.2,62,1423.983722
-2.22,49,1425.977625
1.78,9,1426.53144
1.58,11,1427.173354
-6.4,64,1429.734496
-6.4,64,1432.190921
-1.32,40,1433.891335
-2.72,54,1436.154506
1.28,14,1436.880478
-6.2,62,1439.299083
-6.1,61,1441.673379
0.28,24,1442.759639
-6.1,61,1445.202565
-6.2,62,1447.663924
-0.82,35,1449.143454
1.78,9,1449.695041
-6.6,66,1452.255762
-2.72,54,1454.508687
-6.3,63,1456.966374
-6.1,61,1459.368788
-0.42,31,1460.716466
-6.5,65,1463.235344
-1.42,41,1464.967782
-3.72,64,1467.523004
-6.3,63,1469.983742
1.88,8,1470.480309
2.08,6,1470.914744
-3.52,62,1473.423118
-6.3,63,1475.881433
0.18,25,1476.999498
-6.4,64,1479.436062
-2.72,54,1481.707903
2.08,6,1482.138826
-6.3,63,1484.608045
-0.62,33,1486.040771
0.68,20,1486.977058
-3.32,60,1489.385336
-6.2,62,1491.820261
-1.72,44,1493.628227
-1.72,44,1495.482386
-6.3,63,1497.967866
0.58,21,1498.975785
-1.12,38,1500.633509
1.48,12,1501.314844
-2.42,51,1503.422815
-6.3,63,1505.882647
-3.02,57,1508.194841
-6.3,63,1510.699864
-1.92,46,1512.613818
-6.3,63,1515.129404
-6.2,62,1517.562255
-6.3,63,1520.043195
-2.32,50,1522.11945
-6.3,63,1524.552301
-1.12,38,1526.141584
1.68,10,1526.721729
-0.82,35,1528.20452
-6.1,61,1530.57089
-6.5,65,1533.080497
1.18,15,1533.880314
-6.3,63,1536.312111
-1.82,45,1538.203984
-1.92,46,1540.141957
-6.2,62,1542.613903
-6.5,65,1545.104169
0.68,20,1546.025705
-0.02,27,1547.268804
-3.32,60,1549.69916
0.58,21,1550.708871
2.08,6,1551.127223
-1.82,45,1552.997488
-0.12,28,1554.253213
-6.4,64,1556.739282
-1.02,37,1558.310247
-6.2,62,1560.77763
-6.3,63,1563.24688
-6.1,61,1565.735444
1.08,16,1566.531866
-2.72,54,1568.730078
1.98,7,1569.183644
0.68,20,1570.140157
0.68,20,1571.063622
-6.3,63,1573.483412
1.88,8,1574.004703
-0.72,34,1575.519153
1.28,14,1576.249577
0.88,18,1577.101528
-6.3,63,1579.598633
-2.72,54,1581.811138
-3.52,62,1584.330607
-6.3,63,1586.782509
1.68,10,1587.33632
-1.52,42,1589.087128
1.38,13,1589.769242
-2.92,56,1592.062125
-0.82,35,1593.568042
-6.4,64,1596.03796
0.18,25,1597.184314
0.78,19,1598.094221
-3.52,62,1600.619765
1.28,14,1601.373331
2.08,6,1601.79794
-1.62,43,1603.650449
0.88,18,1604.563414
1.98,7,1605.029178
-1.02,37,1606.622848
1.98,7,1607.108499
1.28,14,1607.838433
-2.12,48,1609.846533
-3.92,66,1612.529142
1.98,7,1612.994943
0.08,26,1614.160594
-1.62,43,1615.967593
-1.92,46,1617.873849
-6.1,61,1620.263723
0.58,21,1621.233348
-3.22,59,1623.663057
-6.4,64,1626.176447
-0.42,31,1627.539693
0.78,19,1628.481669
-6.8,68,1631.103775
-2.92,56,1633.404441
-1.92,46,1635.323591
0.98,17,1636.172876
-2.52,52,1638.317905
1.28,14,1639.054053
-1.22,39,1640.670343
-3.12,58,1643.053031
-6.3,63,1645.526533
-0.52,32,1646.910572
-0.22,29,1648.267294
-6.5,65,1650.810442
-6.4,64,1653.343077
1.98,7,1653.806722
0.78,19,1654.708989
1.68,10,1655.295084
-3.62,63,1657.819299
-6.4,64,1660.31424
0.28,24,1661.448132
-6.4,64,1663.985314
-2.22,49,1666.025597
-1.52,42,1667.760487
-2.82,55,1669.970077
1.48,12,1670.630794
-6.4,64,1673.099257
0.68,20,1674.030822
-6.3,63,1676.485322
-0.52,32,1677.878849
1.48,12,1678.546702
0.78,19,1679.448182
-6.4,64,1681.932263
-3.02,57,1684.262208
0.58,21,1685.258866
-2.82,55,1687.510919
-6.3,63,1690.012911
1.18,15,1690.770163
0.68,20,1691.740357
-6.4,64,1694.266867
-0.92,36,1695.828627
-6.1,61,1698.261056
-0.82,35,1699.764364
-2.02,47,1701.768156
1.88,8,1702.279104
0.78,19,1703.180008
-0.32,30,1704.518406
-6.8,68,1707.114904
-0.62,33,1708.552076
-6.2,62,1710.915434
-6.3,63,1713.338705
-6.4,64,1715.829333
-0.12,28,1717.055092
0.98,17,1717.894857
0.58,21,1718.879645
-6.4,64,1721.416321
-6.2,62,1723.908055
-6.2,62,1726.34375
1.28,14,1727.060095
-1.22,39,1728.720337
-6.3,63,1731.215444
-6.2,62,1733.605447
1.28,14,1734.341114
1.78,9,1734.902377
-2.72,54,1737.105344
-6.4,64,1739.603677
-2.62,53,1741.799094
0.28,24,1742.927386
-3.62,63,1745.490472
-1.32,40,1747.161684
-6.3,63,1749.622071
-2.42,51,1751.740983
0.28,24,1752.866218
-2.72,54,1755.088903
-6.4,64,1757.636954
-6.5,65,1760.172883
