#{"t_start": 1668768825.3141196, "env_id": null}
r,l,t
-2.1,21,719.311885
0.3,8,719.879341
-2.1,21,720.945522
-2.1,21,721.920715
7.844661,8,722.494165
-8.510052,14,723.301736
0.1,10,723.971001
7.644661,10,724.632697
-10.33546,12,725.379646
-2.2,22,726.388999
-0.6,17,727.287852
6.644661,20,728.303765
-2.1,21,729.309123
0.1,10,729.919104
-2.3,23,730.978382
-8.210052,11,731.676101
6.844661,18,732.632979
-0.1,12,733.343713
6.844661,18,734.328707
-8.310052,12,735.092875
-2.1,21,736.062406
7.244661,14,736.86458
-2.3,23,737.92951
-2.1,21,738.946084
-8.410052,13,739.744669
-7.910052,8,740.298093
-2.1,21,741.298336
-0.2,13,742.070277
6.544661,21,743.12789
7.544661,11,743.820131
-1.0,21,744.871732
6.644661,20,745.911534
-2.3,23,746.952955
0.3,8,747.562008
-0.3,14,748.362861
-10.03546,9,749.034576
-2.1,21,750.025618
-2.1,21,751.01572
-0.2,13,751.796502
-0.1,12,752.520348
-2.1,21,753.493226
-0.1,12,754.205418
-1.0,21,755.284009
0.2,9,755.887975
-2.1,21,756.874474
7.844661,8,757.454625
7.344661,13,758.202762
-2.1,21,759.211218
-8.310052,12,759.944724
-0.7,18,760.931632
-0.9,20,762.013586
-8.310052,12,762.739071
-14.532015,8,763.322549
-10.23546,11,763.995667
-2.2,22,765.002345
7.744661,9,765.612507
0.3,8,766.184731
7.544661,11,766.87729
6.644661,20,767.959768
-0.2,13,768.728668
7.844661,8,769.286899
7.444661,12,770.023814
-2.1,21,771.017771
-2.1,21,772.013045
-0.5,16,772.908895
-2.1,21,773.893583
-8.410052,13,774.660479
7.844661,8,775.25533
0.3,8,775.836319
6.944661,17,776.757996
-2.1,21,777.744696
-2.2,22,778.762839
-2.1,21,779.769364
6.644661,20,780.811394
0.3,8,781.404253
-2.2,22,782.377295
7.244661,14,783.18003
-0.6,17,784.100408
-2.2,22,785.11741
-0.5,16,786.005845
-0.1,12,786.79069
-0.1,12,787.513431
-2.1,21,788.498876
-0.1,12,789.232812
0.0,11,789.954837
-11.23546,21,791.028595
7.844661,8,791.602507
7.844661,8,792.188516
-10.33546,12,792.907087
-0.6,17,793.81135
7.644661,10,794.492393
7.844661,8,795.067162
-2.1,21,796.054113
7.844661,8,796.630692
-2.1,21,797.632734
-2.1,21,798.671381
-2.3,23,799.729084
-2.2,22,800.751518
0.3,8,801.326171
0.3,8,801.894084
-2.1,21,802.891617
7.544661,11,803.634632
6.744661,19,804.633046
-2.1,21,805.611489
