#{"t_start": 1668648633.354913, "env_id": null}
r,l,t
1.984963,7,213.572516
-12.315037,150,219.413979
-3.615037,63,221.96701
-7.915037,106,226.220435
0.084963,26,227.484724
-3.415037,61,230.064487
1.584963,11,230.704649
-4.115037,68,233.432035
-15.215037,179,240.424974
0.984963,17,241.276785
0.284963,24,242.396047
-1.315037,40,244.162343
0.484963,22,245.195031
0.284963,24,246.325047
-15.748371,181,253.288494
2.084963,6,253.724838
-13.715037,164,260.235669
-0.815037,35,261.797818
1.084963,16,262.589959
1.684963,10,263.171643
-2.715037,54,265.416857
-9.015037,117,270.059912
-3.015037,57,272.411999
1.284963,14,273.16023
0.584963,21,274.142731
-4.715037,74,277.110214
1.384963,13,277.791421
-4.315037,70,280.666683
-3.115037,58,283.078877
0.484963,22,284.144565
-2.415037,51,286.239388
-6.815037,95,290.102433
-8.015037,107,294.354829
2.084963,6,294.794966
1.884963,8,295.30521
1.484963,12,295.945476
0.284963,24,297.052729
-1.315037,40,298.778164
-6.215037,89,302.433482
1.084963,16,303.242133
-1.915037,46,305.154116
1.984963,7,305.621055
1.884963,8,306.129224
0.784963,19,307.0293
-1.815037,45,308.92502
-3.415037,61,311.395712
-14.015037,167,317.93866
-3.615037,63,320.497445
-0.915037,36,322.066499
-3.315037,60,324.519852
-0.515037,32,325.951943
-10.348371,127,330.993593
-5.315037,80,334.226913
0.684963,20,335.184222
-0.915037,36,336.772324
-8.015037,107,341.04551
0.551629,18,341.918067
-18.6,186,349.219733
-3.015037,57,351.584188
-4.315037,70,354.411151
1.384963,13,355.132923
1.084963,16,355.938171
1.684963,10,356.541443
-7.615037,103,360.597639
-4.615037,73,363.524595
-4.715037,74,366.52023
0.884963,18,367.404577
2.084963,6,367.837384
2.084963,6,368.264429
-6.215037,89,371.832608
-2.248371,46,373.787056
0.984963,17,374.622023
0.284963,24,375.756559
0.584963,21,376.732884
0.884963,18,377.616676
-0.415037,31,379.02734
1.084963,16,379.83388
-1.415037,41,381.612779
-13.915037,166,388.150655
-7.915037,106,392.450653
-13.615037,163,398.784846
-0.815037,35,400.317529
-11.615037,143,406.009897
-0.648371,30,407.375659
-3.915037,66,410.036095
-3.815037,65,412.70062
-18.3,183,419.682723
1.984963,7,420.137117
-13.815037,165,426.626099
1.984963,7,427.101284
-18.5,185,434.227831
-4.115037,68,437.009448
-1.115037,38,438.626778
-8.615037,113,443.100445
1.284963,14,443.825842
-2.115037,48,445.857971
-5.915037,86,449.312633
-3.015037,57,451.733882
1.551629,8,452.264294
0.084963,26,453.42337
-4.115037,68,456.19807
1.284963,14,456.967084
1.884963,8,457.466793
2.084963,6,457.903759
-15.115037,178,464.90009
-0.315037,30,466.234168
-18.6,186,473.464087
-2.515037,52,475.633625
-1.815037,45,477.523645
1.184963,15,478.299298
-5.515037,82,481.604371
0.584963,21,482.579702
-3.615037,63,485.194304
-4.515037,72,488.126577
0.084963,26,489.307838
-1.015037,37,490.900593
-7.215037,99,494.874377
-6.815037,95,498.672446
-2.215037,49,500.729347
-4.315037,70,503.555426
-2.415037,51,505.669559
-5.915037,86,509.057416
-2.715037,54,511.292811
-12.715037,154,517.235322
-0.815037,35,518.802158
1.384963,13,519.488966
-0.915037,36,521.00521
-4.115037,68,523.776348
-5.815037,85,527.239865
1.384963,13,527.920196
1.984963,7,528.389101
1.484963,12,529.041485
-8.448371,108,533.348483
-2.015037,47,535.343869
-3.015037,57,537.69061
-1.615037,43,539.496984
-3.415037,61,542.030104
1.584963,11,542.646856
-1.215037,39,544.305378
0.984963,17,545.171305
-2.915037,56,547.562573
-8.615037,113,551.976457
1.284963,14,552.699053
1.284963,14,553.413144
-1.815037,45,555.358156
1.884963,8,555.862411
-18.7,187,563.063871
-1.015037,37,564.68237
-18.8,188,571.846082
-4.715037,74,574.860188
-2.315037,50,576.979434
1.184963,15,577.757196
-0.815037,35,579.283011
-12.915037,156,585.342918
-0.815037,35,586.931822
-0.848371,32,588.341784
-2.115037,48,590.372128
-3.015037,57,592.787841
-0.915037,36,594.364217
-4.315037,70,597.178154
-2.015037,47,599.16138
-1.215037,39,600.889721
-9.615037,123,605.718249
-0.115037,28,607.00144
-4.815037,75,610.127012
0.884963,18,611.018073
-2.215037,49,613.088059
-1.915037,46,615.032905
1.784963,9,615.614688
-3.515037,62,618.18601
-3.515037,62,620.782552
-7.515037,102,625.091761
-3.015037,57,627.45009
-3.215037,59,629.956407
-1.215037,39,631.642416
-10.215037,129,636.964386
-0.115037,28,638.203083
-2.215037,49,640.261125
-18.8,188,647.585311
-10.415037,131,652.693306
1.984963,7,653.158377
2.084963,6,653.591707
-18.7,187,661.113472
-2.215037,49,663.255445
-7.215037,99,667.14668
-0.915037,36,668.736075
-5.515037,82,672.039536
-0.415037,31,673.398778
1.084963,16,674.20175
0.884963,18,675.120961
0.984963,17,675.964872
-2.915037,56,678.448398
-2.415037,51,680.549133
0.784963,19,681.508245
-2.015037,47,683.477735
-18.4,184,690.95764
-1.315037,40,692.755587
-18.6,186,699.845705
-9.015037,117,704.466192
-6.815037,95,708.420425
-9.315037,120,713.135251
-2.548371,49,715.185877
-4.015037,67,717.884758
2.084963,6,718.32775
-2.415037,51,720.546665
-6.115037,88,724.112716
-5.115037,78,727.269132
-1.015037,37,728.901184
0.184963,25,730.03618
2.084963,6,730.491061
-12.815037,155,736.670538
-5.715037,84,740.154276
-13.015037,157,746.271855
-2.915037,56,748.648041
-14.115037,168,755.096647
-4.548371,69,757.907591
-4.815037,75,760.957838
-8.015037,107,765.204799
1.984963,7,765.68158
-18.9,189,772.939265
0.884963,18,773.832854
-0.315037,30,775.222187
-3.748371,61,777.755646
0.684963,20,778.76463
-2.915037,56,781.146772
-9.315037,120,785.915504
0.384963,23,787.049496
