reward,agent,experience_bonus,reward_game,counter_changes,representation,changes_penalty,entropy_map,piece_penalty,reward_experience_bonus,discount_rewards,is_done_success,rewards_sum,counter_done_max_changes,bonus_factor,done_penalty,segments,counter_done,entropy,historical,discount_reward,done_bonus,counter_done_interations
2.58,,1.0154,3.0,14,narrow-puzzle,,1.0378801882134556,0,2.6197320000000004,1.7364393240839353,True,1.18,0,2.0873770280289223,,[14 47  1 62  1 27],26,2.2516291673878226,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([27], dtype=int64), array([14], dtype=int64), array([1], dtype=int64), array([28], dtype=int64), array([63], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([17], dtype=int64), array([27], dtype=int64), array([62], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([14], dtype=int64), array([47], dtype=int64), array([1], dtype=int64)]}",,10.0,0
2.58,,1.0156,3.0,18,narrow-puzzle,,1.0517831350700257,0,2.620248,1.3982067513169862,True,0.5799999999999996,0,1.0,,[48 15 27 63  1  9],27,2.584962500721156,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([27], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([63], dtype=int64), array([23], dtype=int64), array([63], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([28], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([14], dtype=int64), array([1], dtype=int64), array([63], dtype=int64), array([1], dtype=int64), array([9], dtype=int64), array([48], dtype=int64), array([15], dtype=int64), array([27], dtype=int64)]}",,50.0,0
2.58,,1.0158,4.0,10,narrow-puzzle,,1.0526064097483934,0,2.6207640000000003,1.969497831139519,True,1.58,0,2.469817807045694,,[69 35 69  1  1 28],28,1.9182958340544893,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([4], dtype=int64), array([28], dtype=int64), array([51], dtype=int64), array([1], dtype=int64), array([63], dtype=int64), array([28], dtype=int64), array([69], dtype=int64), array([35], dtype=int64), array([69], dtype=int64), array([1], dtype=int64), array([1], dtype=int64)]}",,0.0,0
2.58,,1.016,0.0,6,narrow-puzzle,,1.052978107690007,0,2.62128,2.269662008923667,True,2.08,0,3.188521078284832,,[27 51 35  1  1 62],29,2.251629167387823,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([27], dtype=int64), array([51], dtype=int64), array([35], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([62], dtype=int64)]}",,10.0,0
2.58,,1.0162,3.0,8,narrow-puzzle,,1.0368073098028172,0,2.6217960000000002,2.1483968012095644,True,1.8800000000000001,0,2.7613402542968153,,[52  1 47  1 27  1],30,1.7924812503605778,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([0], dtype=int64), array([27], dtype=int64), array([47], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([52], dtype=int64), array([1], dtype=int64)]}",,0.0,0
2.58,,1.0164,0.0,6,narrow-puzzle,,1.0389392963884174,0,2.622312,2.269662008923667,True,2.08,0,3.188521078284832,,[ 1 62 14 27  1  1],31,1.7924812503605778,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([1], dtype=int64), array([62], dtype=int64), array([14], dtype=int64), array([27], dtype=int64), array([1], dtype=int64), array([1], dtype=int64)]}",,0.0,0
2.58,,1.0166,0.0,6,narrow-puzzle,,1.0526064097483934,0,2.622828,2.269662008923667,True,2.08,0,3.188521078284832,,[ 0 63 62  1 27  1],32,2.251629167387823,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([0], dtype=int64), array([63], dtype=int64), array([62], dtype=int64), array([1], dtype=int64), array([27], dtype=int64), array([1], dtype=int64)]}",,10.0,0
2.58,,1.0168,3.0,14,narrow-puzzle,,1.0381847351922342,0,2.623344,1.7364393240839353,True,1.18,0,2.0873770280289223,,[23  1 27  1  1  1],33,1.2516291673878228,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([63], dtype=int64), array([66], dtype=int64), array([1], dtype=int64), array([62], dtype=int64), array([68], dtype=int64), array([62], dtype=int64), array([62], dtype=int64), array([63], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([23], dtype=int64), array([1], dtype=int64), array([27], dtype=int64)]}",,0.0,0
2.58,,1.017,3.0,9,narrow-puzzle,,1.0354952864565292,0,2.6238599999999996,2.088366962842194,True,1.7800000000000002,0,2.6034165586355513,,[ 1  1 47 27 47 69],34,1.9182958340544893,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([27], dtype=int64), array([63], dtype=int64), array([27], dtype=int64), array([27], dtype=int64), array([47], dtype=int64), array([69], dtype=int64), array([1], dtype=int64), array([1], dtype=int64), array([47], dtype=int64)]}",,0.0,0
2.58,,1.0172,3.0,9,narrow-puzzle,,1.051331527644824,0,2.6243760000000003,2.088366962842194,True,1.7800000000000002,0,2.6034165586355513,,[63 63  1 47 27  4],35,2.2516291673878226,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([1], dtype=int64), array([0], dtype=int64), array([27], dtype=int64), array([47], dtype=int64), array([27], dtype=int64), array([4], dtype=int64), array([63], dtype=int64), array([63], dtype=int64), array([1], dtype=int64)]}",,10.0,0
