reward,is_done_success,entropy,experience_bonus,entropy_map,done_penalty,agent,done_bonus,counter_changes,changes_penalty,bonus_factor,historical,counter_done_max_changes,counter_done,representation,discount_rewards,rewards_sum,reward_game,discount_reward,piece_penalty,segments,counter_done_interations,reward_experience_bonus
3.0,True,2.75,1.0142,1.1494495325409115,,,10.0,16,,1.1456439237389602,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([151], dtype=int64), array([226], dtype=int64), array([179], dtype=int64), array([104], dtype=int64), array([182], dtype=int64), array([199], dtype=int64), array([49], dtype=int64), array([163], dtype=int64), array([179], dtype=int64), array([138], dtype=int64), array([239], dtype=int64), array([163], dtype=int64), array([168], dtype=int64), array([179], dtype=int64), array([177], dtype=int64), array([80], dtype=int64)]}",91,20,narrow-puzzle,2.0690560985413535,1.4999999999999998,6.0,,0,[179 138 239 163 168 179 177  80],0,3.0426
3.0,True,2.5,1.0144,1.178273126049243,,,0.0,20,,1.0246950765959597,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([177], dtype=int64), array([104], dtype=int64), array([179], dtype=int64), array([151], dtype=int64), array([226], dtype=int64), array([151], dtype=int64), array([274], dtype=int64), array([151], dtype=int64), array([179], dtype=int64), array([182], dtype=int64), array([179], dtype=int64), array([151], dtype=int64), array([203], dtype=int64), array([123], dtype=int64), array([151], dtype=int64), array([80], dtype=int64), array([41], dtype=int64), array([179], dtype=int64), array([151], dtype=int64), array([163], dtype=int64), array([179], dtype=int64), array([104], dtype=int64)]}",94,21,narrow-puzzle,1.721828799965464,0.8999999999999995,3.0,,0,[ 41 179 151 163 179 104 151  80],0,3.0431999999999997
3.0,True,3.0,1.0146,1.15803278277524,,,50.0,16,,1.1456439237389602,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([180], dtype=int64), array([283], dtype=int64), array([80], dtype=int64), array([163], dtype=int64), array([177], dtype=int64), array([249], dtype=int64), array([163], dtype=int64), array([199], dtype=int64), array([177], dtype=int64), array([104], dtype=int64), array([163], dtype=int64), array([71], dtype=int64), array([226], dtype=int64), array([55], dtype=int64), array([182], dtype=int64), array([129], dtype=int64)]}",96,22,narrow-puzzle,2.0690560985413535,1.4999999999999998,3.0,,0,[177 104 163  71 226  55 182 129],0,3.0438
3.0,True,3.0,1.0148,1.17526196040337,,,50.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([85], dtype=int64), array([104], dtype=int64), array([180], dtype=int64), array([55], dtype=int64), array([168], dtype=int64), array([179], dtype=int64), array([151], dtype=int64), array([68], dtype=int64)]}",98,23,narrow-puzzle,2.553987155462983,2.3,6.0,,0,[ 85 104 180  55 168 179 151  68],0,3.0443999999999996
3.0,True,2.75,1.0150000000000001,1.1569672785807603,,,10.0,11,,1.381698559415515,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([70], dtype=int64), array([104], dtype=int64), array([255], dtype=int64), array([226], dtype=int64), array([163], dtype=int64), array([299], dtype=int64), array([179], dtype=int64), array([123], dtype=int64), array([179], dtype=int64), array([70], dtype=int64), array([114], dtype=int64)]}",99,24,narrow-puzzle,2.369115405788056,2.0,7.0,,0,[179  70 114 226 163 299 179 123],0,3.0450000000000004
3.0,True,3.0,1.0152,1.173448910450677,,,50.0,15,,1.1832159566199232,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([179], dtype=int64), array([232], dtype=int64), array([80], dtype=int64), array([190], dtype=int64), array([182], dtype=int64), array([116], dtype=int64), array([151], dtype=int64), array([128], dtype=int64), array([61], dtype=int64), array([55], dtype=int64), array([179], dtype=int64), array([163], dtype=int64), array([255], dtype=int64), array([76], dtype=int64), array([104], dtype=int64)]}",99,25,narrow-puzzle,2.128275931088327,1.5999999999999999,3.0,,0,[ 61  55 179 163 255  76 104 128],0,3.0456000000000003
3.0,True,2.75,1.0154,1.143579520723093,,,10.0,8,,1.620185174601965,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([118], dtype=int64), array([163], dtype=int64), array([151], dtype=int64), array([190], dtype=int64), array([179], dtype=int64), array([179], dtype=int64), array([114], dtype=int64), array([239], dtype=int64)]}",104,26,narrow-puzzle,2.553987155462983,2.3,3.0,,0,[118 163 151 190 179 179 114 239],0,3.0462000000000002
3.0,True,2.75,1.0156,1.1366177210242918,,,10.0,19,,1.0513149660756935,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([38], dtype=int64), array([180], dtype=int64), array([179], dtype=int64), array([246], dtype=int64), array([42], dtype=int64), array([116], dtype=int64), array([190], dtype=int64), array([255], dtype=int64), array([123], dtype=int64), array([226], dtype=int64), array([151], dtype=int64), array([226], dtype=int64), array([163], dtype=int64), array([104], dtype=int64), array([179], dtype=int64), array([179], dtype=int64), array([151], dtype=int64), array([182], dtype=int64), array([118], dtype=int64)]}",107,27,narrow-puzzle,1.8937257375651166,1.1999999999999995,6.0,,0,[151 182 118 226 163 104 179 179],0,3.0468
3.0,True,2.5,1.0158,1.1392398252594038,,,0.0,11,,1.381698559415515,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([44], dtype=int64), array([70], dtype=int64), array([104], dtype=int64), array([152], dtype=int64), array([61], dtype=int64), array([82], dtype=int64), array([55], dtype=int64), array([55], dtype=int64), array([163], dtype=int64), array([179], dtype=int64), array([179], dtype=int64)]}",107,28,narrow-puzzle,2.369115405788056,2.0,3.0,,0,[163 179 179 152  61  82  55  55],0,3.0474
3.0,True,2.4056390622295662,1.016,1.1770616748643379,,,0.0,20,,1.0246950765959597,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, -0.1, 3.0], 'action': [array([272], dtype=int64), array([282], dtype=int64), array([123], dtype=int64), array([55], dtype=int64), array([114], dtype=int64), array([104], dtype=int64), array([104], dtype=int64), array([151], dtype=int64), array([163], dtype=int64), array([46], dtype=int64), array([243], dtype=int64), array([234], dtype=int64), array([104], dtype=int64), array([151], dtype=int64), array([163], dtype=int64), array([179], dtype=int64), array([151], dtype=int64), array([100], dtype=int64), array([246], dtype=int64), array([151], dtype=int64)]}",108,29,narrow-puzzle,1.8360490561799925,1.0999999999999994,3.0,,0,[151 100 246 151 104 151 163 179],0,3.048
