#{"t_start": 1668598918.7224889, "env_id": null}
r,l,t
1.98,7,241.415498
1.08,16,242.041662
2.08,6,242.341263
1.68,10,242.770269
0.78,19,243.474023
-2.9,29,244.453672
1.98,7,244.772407
-2.5,25,245.628498
1.68,10,246.041873
2.08,6,246.352708
1.88,8,246.73456
1.58,11,247.195714
2.08,6,247.492597
2.08,6,247.797916
2.08,6,248.106054
1.28,14,248.669935
1.58,11,249.154114
-2.3,23,249.945425
1.68,10,250.359795
1.48,12,250.864505
2.08,6,251.15983
1.98,7,251.483919
1.98,7,251.813126
2.08,6,252.113605
1.88,8,252.468516
2.08,6,252.753286
1.78,9,253.153802
2.08,6,253.450592
1.88,8,253.815379
1.48,12,254.299086
1.88,8,254.747483
-2.4,24,255.557646
1.18,15,256.14337
-2.2,22,256.89043
2.08,6,257.190007
1.98,7,257.511415
2.08,6,257.815475
1.88,8,258.187254
1.88,8,258.547155
1.78,9,258.941259
1.98,7,259.281762
1.88,8,259.656804
1.38,13,260.206655
2.08,6,260.503037
2.08,6,260.79572
1.88,8,261.172909
0.98,17,261.845049
0.58,21,262.638958
0.78,19,263.364102
1.68,10,263.813092
2.08,6,264.107244
1.58,11,264.571833
1.38,13,265.118241
2.08,6,265.418651
1.48,12,265.938524
0.38,23,266.776069
1.98,7,267.119543
1.98,7,267.448486
1.78,9,267.839951
2.08,6,268.138883
1.68,10,268.565198
1.18,15,269.174844
2.08,6,269.47541
1.68,10,269.901126
2.08,6,270.191854
2.08,6,270.490078
2.08,6,270.784754
1.18,15,271.387746
1.38,13,271.918048
-2.2,22,272.681892
1.48,12,273.166994
1.18,15,273.737867
1.98,7,274.059763
1.78,9,274.454787
0.88,18,275.160606
1.48,12,275.656595
2.08,6,275.958263
2.08,6,276.259384
1.98,7,276.588551
0.68,20,277.352433
1.08,16,277.959989
1.88,8,278.321634
1.98,7,278.654683
1.58,11,279.109478
1.48,12,279.616386
1.58,11,280.066292
2.08,6,280.367715
1.88,8,280.727224
1.18,15,281.302117
1.98,7,281.637618
0.38,23,282.508656
2.08,6,282.807293
2.08,6,283.103799
1.28,14,283.670303
1.58,11,284.110997
1.48,12,284.596913
-2.2,22,285.368669
1.48,12,285.857673
1.48,12,286.353606
1.68,10,286.791724
1.88,8,287.153459
1.48,12,287.656054
1.98,7,287.989214
0.78,19,288.710249
1.98,7,289.03315
1.98,7,289.371192
1.98,7,289.710114
-2.2,22,290.484957
1.88,8,290.843813
1.68,10,291.28618
-2.2,22,292.091724
1.68,10,292.523625
1.98,7,292.859694
2.08,6,293.17067
1.78,9,293.57003
1.18,15,294.155708
1.98,7,294.485754
2.08,6,294.783923
1.68,10,295.216941
0.88,18,295.908827
1.78,9,296.304187
1.78,9,296.694838
2.08,6,296.999403
1.98,7,297.333476
1.98,7,297.665167
1.68,10,298.116275
0.68,20,298.886981
2.08,6,299.174623
2.08,6,299.473442
2.08,6,299.78697
2.08,6,300.095111
0.78,19,300.800108
2.08,6,301.093837
1.08,16,301.718092
2.08,6,302.021069
1.58,11,302.486606
1.98,7,302.832005
1.78,9,303.200957
0.68,20,303.930526
0.68,20,304.688588
1.38,13,305.228364
2.08,6,305.525543
1.68,10,305.965794
1.58,11,306.413488
2.08,6,306.716613
2.08,6,307.012902
0.38,23,307.870955
2.08,6,308.173247
2.08,6,308.464847
1.68,10,308.899401
1.98,7,309.213324
