#{"t_start": 1682617707.5552094, "env_id": null}
r,l,t
-11.115037,138,1078.791019
-2.815037,55,1081.89588
-9.615037,123,1088.599287
-0.748371,31,1090.419358
-10.715037,134,1097.886858
-1.348371,37,1100.069121
-2.015037,47,1102.817132
0.284963,24,1104.340823
-2.548371,49,1107.224909
-8.748371,111,1113.354473
-18.0,180,1123.09218
-2.415037,51,1126.082451
-7.515037,102,1131.704135
2.084963,6,1132.204751
-11.415037,141,1139.990521
-3.115037,58,1143.239847
1.884963,8,1143.859387
-3.415037,61,1147.280735
-0.315037,30,1149.058944
-18.0,180,1158.817911
1.184963,15,1159.86708
0.151629,22,1161.25605
0.684963,20,1162.546941
-12.815037,155,1171.028769
0.851629,15,1172.023508
0.884963,18,1173.164341
0.984963,17,1174.262227
-18.0,180,1183.947454
-3.915037,66,1187.652658
-10.248371,126,1194.618549
-5.215037,79,1199.105113
-1.048371,34,1201.106831
0.784963,19,1202.31366
-1.815037,45,1204.898896
-6.615037,93,1210.073083
-15.015037,177,1219.808194
-4.115037,68,1223.673265
-2.615037,53,1226.708823
-1.648371,40,1229.039485
-0.215037,29,1230.769904
0.984963,17,1231.850743
-4.615037,73,1235.948269
-7.848371,102,1241.616022
-2.115037,48,1244.346833
-2.915037,56,1247.514911
-0.515037,32,1249.402899
-1.748371,41,1251.792741
-4.115037,68,1255.613965
-2.015037,47,1258.316071
-0.948371,33,1260.27508
1.584963,11,1261.04726
1.284963,14,1261.974881
1.484963,12,1262.819906
-3.948371,63,1266.369772
-1.315037,40,1268.667551
1.284963,14,1269.605958
1.184963,15,1270.603824
-7.615037,103,1276.277974
-18.0,180,1286.185571
-18.0,180,1295.857481
-2.515037,52,1298.771574
0.084963,26,1300.360639
0.984963,17,1301.450573
-1.515037,42,1303.864462
-2.115037,48,1306.733746
-5.115037,78,1311.097263
-8.915037,116,1317.464088
-4.115037,68,1321.322181
-0.015037,27,1322.979907
-11.615037,143,1330.757513
-9.148371,115,1337.148813
-7.115037,98,1342.64487
-5.715037,84,1347.326637
-6.515037,92,1352.428887
-7.815037,105,1358.200211
0.251629,21,1359.53799
-6.215037,89,1364.515356
-7.215037,99,1369.990849
1.784963,9,1370.667283
-0.315037,30,1372.443107
-3.048371,54,1375.525134
-1.015037,37,1377.722053
2.084963,6,1378.237555
-11.515037,142,1386.049066
