counter_done,agent,counter_done_max_changes,reward_game,representation,done_penalty,counter_changes,reward_experience_bonus,entropy,reward,changes_penalty,piece_penalty,discount_reward,done_bonus,is_done_success,segments,discount_rewards,rewards_sum,experience_bonus,historical,bonus_factor,counter_done_interations,entropy_map
16,,0,0.0,narrow-puzzle,,6,2.6145720000000003,1.2516291673878228,2.58,,0,,0.0,True,[17 17 29 17 17 18],2.269662008923667,2.08,1.0134,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([17], dtype=int64), array([29], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([18], dtype=int64)]}",3.188521078284832,0,0.9947240240065337
17,,0,0.0,narrow-puzzle,,6,2.615088,1.7924812503605778,2.58,,0,,0.0,True,[29 16 24 18 29 29],2.269662008923667,2.08,1.0136,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([29], dtype=int64), array([16], dtype=int64), array([24], dtype=int64), array([18], dtype=int64), array([29], dtype=int64), array([29], dtype=int64)]}",3.188521078284832,0,0.9161442454222585
18,,0,0.0,narrow-puzzle,,6,2.6156040000000003,0.6500224216483541,2.58,,0,,0.0,True,[29 29 29 29 16 29],2.269662008923667,2.08,1.0138,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([29], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([16], dtype=int64), array([29], dtype=int64)]}",3.188521078284832,0,0.9002448724102411
19,,0,0.0,narrow-puzzle,,6,2.61612,1.7924812503605778,2.58,,0,,0.0,True,[14 16 17 29 16 16],2.269662008923667,2.08,1.014,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([14], dtype=int64), array([16], dtype=int64), array([17], dtype=int64), array([29], dtype=int64), array([16], dtype=int64), array([16], dtype=int64)]}",3.188521078284832,0,0.97663491144401
20,,0,0.0,narrow-puzzle,,6,2.616636,1.4591479170272448,2.58,,0,,0.0,True,[16 16 29 18 29 16],2.269662008923667,2.08,1.0142,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([16], dtype=int64), array([16], dtype=int64), array([29], dtype=int64), array([18], dtype=int64), array([29], dtype=int64), array([16], dtype=int64)]}",3.188521078284832,0,0.930586129131993
21,,0,0.0,narrow-puzzle,,6,2.617152,1.2516291673878228,2.58,,0,,0.0,True,[16 29 29 29 29 39],2.269662008923667,2.08,1.0144,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([16], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([39], dtype=int64)]}",3.188521078284832,0,0.9026067423614912
22,,0,0.0,narrow-puzzle,,6,2.617668,1.4591479170272448,2.58,,0,,0.0,True,[17 18 29 29 29 17],2.269662008923667,2.08,1.0146,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([18], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([29], dtype=int64), array([17], dtype=int64)]}",3.188521078284832,0,0.9864676098415691
23,,0,0.0,narrow-puzzle,,6,2.618184,1.9182958340544896,2.58,,0,,0.0,True,[29 16 17 39 39 29],2.269662008923667,2.08,1.0148,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([29], dtype=int64), array([16], dtype=int64), array([17], dtype=int64), array([39], dtype=int64), array([39], dtype=int64), array([29], dtype=int64)]}",3.188521078284832,0,0.9552178476322735
24,,0,0.0,narrow-puzzle,,6,2.6187000000000005,1.2516291673878228,2.58,,0,,0.0,True,[17 17 17 29 17 24],2.269662008923667,2.08,1.0150000000000001,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([17], dtype=int64), array([17], dtype=int64), array([29], dtype=int64), array([17], dtype=int64), array([24], dtype=int64)]}",3.188521078284832,0,0.9970338496312483
25,,0,0.0,narrow-puzzle,,6,2.619216,1.9182958340544893,2.58,,0,,0.0,True,[17 16 24 17 18 16],2.269662008923667,2.08,1.0152,"{'rewards': [-0.1, -0.1, -0.1, -0.1, -0.1, 2.58], 'action': [array([17], dtype=int64), array([16], dtype=int64), array([24], dtype=int64), array([17], dtype=int64), array([18], dtype=int64), array([16], dtype=int64)]}",3.188521078284832,0,0.9930197666773304
